Movie Name,Director,Cast,Meta Score
Scarface,"['Howard Hawks', 'Richard Rosson']","['Ann Dvorak', 'Boris Karloff', 'C. Henry Gordon', 'George Raft', 'Karen Morley', 'Osgood Perkins', 'Paul Muni', 'Purnell Pratt', 'Tully Marshall', 'Vince Barnett', 'Edwin Maxwell', 'Eugenie Besserer', 'Gus Arnheim', 'Henry Armetta', 'Inez Palange']",87
Of Men and War,['Laurent Bécue-Renard'],[],87
The Long Goodbye,['Robert Altman'],"['David Arkin', 'Elliott Gould', 'Henry Gibson', 'Jim Bouton', 'Jo Ann Brody', 'Mark Rydell', 'Nina van Pallandt', 'Stephen Coit', 'Sterling Hayden', 'Warren Berlinger', 'Enrique Lucero', 'Jack Knight', 'Pancho Córdova', 'Pepe Callahan', 'Vincent Palmieri']",87
Imitation of Life,['Douglas Sirk'],"[""Dan O'Herlihy"", 'John Gavin', 'John Vivyan', 'Juanita Moore', 'Karin Dicker', 'Lana Turner', 'Robert Alda', 'Sandra Dee', 'Susan Kohner', 'Terry Burnham', 'Ann Robinson', 'David Tomack', 'Lee Goodman', 'Sandra Gould', 'Troy Donahue']",87
Pain and Glory,['Pedro Almodóvar'],"['Agustín Almodóvar', 'Antonio Banderas', 'Asier Etxeandia', 'Asier Flores', 'Cecilia Roth', 'César Vicente', 'Eva Martín', 'Julián López', 'Julieta Serrano', 'Leonardo Sbaraglia', 'Nora Navas', 'Penélope Cruz', 'Raúl Arévalo', 'Rosalía', 'Susi Sánchez', 'Agustín Almodóvar', 'Alba García', 'César Vicente', 'Eva Martín', 'Julián López', 'Pedro Casablanc', 'Raúl Arévalo', 'Sara Sierra', 'Susi Sánchez']",87
Genèse (Genesis),['Philippe Lesage'],"['Antoine Marchand Gagnon', ""Ariane L'Heureux"", 'Brett Dier', 'Émile Bilodeau', 'Emilie Bierre', 'Étienne Galloy', 'Marc Beaupré', 'Marie Jasmina', 'Noée Abita', 'Paul Ahmarani', 'Pier-Luc Funk', ""Ariane L'Heureux"", 'Guillaume Laurin', 'Jean-Simon Leduc', 'Mylène Mackay', 'Noémi Lira', 'Tayna V. Lavoie']",87
The Farthest,['Emer Reynolds'],"['Carolyn Porco', 'Charley Kohlhase', 'Edward Stone', 'Fran Bagenal', 'Frank Drake', 'John Casani', 'Larry Soderblom', 'Lawrence Krauss', 'Nick Sagan', 'Timothy Ferris', 'Frank Locatell', 'Heidi Hammel', 'James F. Bell', 'Jon Lomberg', 'Suzanne Dodd']",87
Gomorrah,['Matteo Garrone'],"['Gianfelice Imparato', 'Salvatore Abruzzese', 'Toni Servillo', 'Angelo Aliberti', 'Antonio Aiello', 'Antonio Amato', 'Carmine Paternoster', 'Ciro Petrone', 'Denis Bajrami', 'Dora Angelone', 'Gigio Morra', 'Marco Macor', 'Maria Nazionale', 'Salvatore Cantalupo', 'Vincenzo Altamura']",87
To Be and to Have,['Nicolas Philibert'],"['Alizé', 'Axel', 'Franck', 'Georges Lopez', 'Guillaume', 'Jessie', 'Johan', 'Johann', 'Jonathan', 'Julien', 'Laura', 'Létitia', 'Marie-Elizabeth', 'Nathalie', 'Olivier']",87
Halloween,['John Carpenter'],"['Donald Pleasence', 'Jamie Lee Curtis', 'Tony Moran', 'Adam Hollander', 'Arthur Malet', 'Brent Le Page', 'Brian Andrews', 'Charles Cyphers', 'John Michael Graham', 'Kyle Richards', 'Mickey Yablans', 'Nancy Kyes', 'Nancy Stephens', 'P.J. Soles', 'Robert Phalen']",87
Eraserhead,['David Lynch'],"['Allen Joseph', 'Charlotte Stewart', 'Jack Fisk', 'Jack Nance', 'Jean Lange', 'Jeanne Bates', 'Judith Roberts', 'Laurel Near', 'Thomas Coulson', 'V. Phipps-Wilson', 'Darwin Joston', 'Hal Landon Jr.', 'Jennifer Chambers Lynch', 'John Monez', 'T. Max Graham']",87
Medium Cool,['Haskell Wexler'],"['Bob McAndrew', 'Charles Geary', 'Christine Bergstrom', 'Harold Blankenship', 'Marianna Hill', 'Peter Bonerz', 'Robert Forster', 'Sid McCoy', 'Verna Bloom', 'William Sickingen', 'Beverly Younger', 'Doug Kimball', 'Edward Croke', 'Marrian Walters', 'Peter Boyle']",87
Fire at Sea,['Gianfranco Rosi'],"['Francesco Mannino', 'Francesco Paterna', 'Giuseppe Fragapane', 'Maria Costa', 'Maria Signorello', 'Mattias Cucina', 'Pietro Bartolo', 'Samuele Caruana', 'Samuele Pucillo']",87
The Fugitive,['Andrew Davis'],"['Harrison Ford', 'Tommy Lee Jones', 'Andreas Katsulas', 'Daniel Roebuck', 'Jeroen Krabbé', 'Joe Pantoliano', 'John Drummond', 'Joseph F. Kosala', 'Julianne Moore', 'L. Scott Caldwell', 'Miguel Nino', 'Ron Dean', 'Sela Ward', 'Tom Wood', 'Tony Fosco']",87
F for Fake,"['François Reichenbach', 'Gary Graver', 'Oja Kodar', 'Orson Welles']","['Clifford Irving', 'David Walsh', 'Edith Irving', 'Elmyr de Hory', 'François Reichenbach', 'Laurence Harvey', 'Oja Kodar', 'Orson Welles', 'Paul Stewart', 'Richard Wilson', 'Alexander Welles', 'Gary Graver', 'Howard Hughes', 'Joseph Cotten', 'Richard Drewett']",87
About Elly (2009),['Asghar Farhadi'],"['Ahmad Mehranfar', 'Golshifteh Farahani', 'Mani Haghighi', ""Marila Zare'i"", 'Peyman Moaadi', ""Ra'na Azadivar"", 'Saber Abbar', 'Shahab Hosseini', 'Taraneh Alidoosti']",87
The Bridge on the River Kwai,['David Lean'],"['Alec Guinness', 'André Morell', 'Geoffrey Horne', 'Jack Hawkins', 'James Donald', 'John Boxer', 'Percy Herbert', 'Peter Williams', 'Sessue Hayakawa', 'William Holden', 'Ann Sears', 'Harold Goodwin', 'Heihachirô Ôkawa', 'Keiichirô Katsumoto', 'M.R.B. Chakrabandhu']",87
Goldfinger,['Guy Hamilton'],"['Gert Fröbe', 'Honor Blackman', 'Sean Connery', 'Austin Willis', 'Bernard Lee', 'Bill Nagy', 'Cec Linder', 'Harold Sakata', 'Lois Maxwell', 'Martin Benson', 'Michael Mellinger', 'Nadja Regin', 'Peter Cranwell', 'Shirley Eaton', 'Tania Mallet']",87
Ma Rainey's Black Bottom,['George C. Wolfe'],"['Chadwick Boseman', 'Colman Domingo', 'Dusan Brown', 'Glynn Turman', 'Jeremy Shamos', 'Jonathan Coyne', 'Joshua Harto', 'Michael Potts', 'Taylour Paige', 'Viola Davis', 'Antonio Fierro', 'Brent Feitl', 'Gregory Bromfield', 'James Ciesielski', 'Jordan Rhone', 'Phil Nardozzi', 'Tony Amen']",87
One False Move,['Carl Franklin'],"['Bill Paxton', 'Billy Bob Thornton', 'Cynda Williams', 'Derrick Williams', 'Earl Billings', 'Jim Metzler', 'Jimmy Bridges', 'Kevin Hunter', ""Meredith 'Jeta' Donovan"", 'Michael Beach', 'Natalie Canerday', 'Phyllis Kirklin', 'Phyllis Sutton', 'Robert Anthony Bell', 'Robert Ginnaven']",87
En el Séptimo Día (On the Seventh Day),['Jim McKay'],"['Abel Perez', 'Alejandro Huitzil', 'Alfonso Velazquez', 'Cristofer Huitzil', 'Eduardo Espinosa', 'Fernando Cardona', 'Genoel Ramírez', 'Gilberto Arenas', 'Gilberto Jimenez', 'Ricardo Gonzalez', 'Alex Halpern', 'Christopher Gabriel Núñez', 'Delfino Solis', 'Donal Brophy', 'Ernesto Lucero']",87
Jane,['Brett Morgen'],['Jane Goodall'],87
Jaws,['Steven Spielberg'],"['Richard Dreyfuss', 'Robert Shaw', 'Robert Shaw', 'Roy Scheider', 'Carl Gottlieb', 'Chris Rebello', 'Craig Kingsbury', 'Jay Mello', 'Jeffrey Kramer', 'Jeffrey Voorhees', 'Jonathan Filley', 'Lee Fierro', 'Lorraine Gary', 'Murray Hamilton', 'Susan Backlinie', 'Ted Grossman']",87
We Are the Best!,['Lukas Moodysson'],"['Johan Liljemark', 'Liv LeMoyne', 'Mira Barkhammar', 'Mira Grosin', 'Alexander Karlsson', 'Alvin Strollo', 'Ann-Sofie Rase', 'Anna Rydgren', 'Berndt', 'Charlie Falk', 'Clara Christiansson', 'David Dencik', 'Emrik Ekholm', 'Henrik Dahl', 'Johan Liljemark', 'Jonathan Salomonsson', 'Lena Carlsson', 'Lena Nylén', 'Lily Moodysson', 'Liv LeMoyne', 'Mads Korsgaard', 'Mattias Wiberg', 'Mira Barkhammar', 'Mira Grosin', 'Per Fenger-Krog', 'Peter Eriksson', 'Serina Bj', 'Sofi Ahlström Helleday', 'Steve Kratz', 'Vanja Engstr', 'Viveca Dahlén', 'Ylva Olaison']",87
Spartacus,['Stanley Kubrick'],"['Kirk Douglas', 'Laurence Olivier', 'Charles Laughton', 'Charles McGraw', 'Harold J. Stone', 'Herbert Lom', 'Jean Simmons', 'Joanna Barnes', 'John Dall', 'John Gavin', 'John Ireland', 'Nina Foch', 'Peter Brocco', 'Peter Ustinov', 'Woody Strode']",87
Small Axe: Education,['Steve McQueen'],"['Calum Callaghan', 'Ciarán Owens', 'Jim Sturgeon', 'John Boyega', 'Joy Richardson', 'Marina Hayter', 'Martin Portlock', 'Stephen Boxer', 'Steve Toussaint', 'Tyrone Huntley', 'Conor Lowson', 'Eddie-Joe Robinson', 'Jaden Oshenye', 'Nathan Vidal', 'Robert Godley-Harrod']",87
Back to the Future,['Robert Zemeckis'],"['Christopher Lloyd', 'Michael J. Fox', 'Billy Zane', 'Casey Siemaszko', 'Claudia Wells', 'Crispin Glover', 'Frances Lee McCain', 'George DiCenzo', 'Harry Waters, Jr.', 'J.J. Cohen', 'James Tolkan', 'Lea Thompson', 'Marc McClure', 'Thomas F. Wilson', 'Wendie Jo Sperber']",87
If Beale Street Could Talk,['Barry Jenkins'],"['Aunjanue Ellis', 'Brian Tyree Henry', 'Colman Domingo', 'Dave Franco', 'Diego Luna', 'Dominique Thorne', 'Ebony Obsidian', 'Ed Skrein', 'Emily Rios', 'Finn Wittrock', 'KiKi Layne', 'Michael Beach', 'Pedro Pascal', 'Regina King', 'Stephan James', 'Teyonah Parris', 'Aunjanue Ellis', 'Brian Tyree Henry', 'Colman Domingo', 'Doris McCarthy', 'Ed Skrein', 'Emily Rios', 'Faith Logan', 'Finn Wittrock', 'Marcia Jean Kurtz', 'Pedro Pascal', 'Stephan James', 'Teyonah Parris']",87
My Journey Through French Cinema,['Bertrand Tavernier'],"['André Marcon', 'Bertrand Tavernier', 'Claude Chabrol', 'Eddie Constantine', 'Georges de Beauregard', 'Jacques Becker', 'Jean-Paul Belmondo', 'Marcel Carné', 'Michel Deville', 'Raoul Coutard', 'Thierry Frémaux', 'Antoine Duhamel', 'Bertrand Tavernier', 'Claude Chabrol', 'Eddie Constantine', 'Françoise Giroud', 'Georges de Beauregard', 'Jacques Becker', 'Jean Gabin', 'Jean-Luc Godard', 'Jean-Paul Belmondo', 'Jean-Paul Gaultier', 'Marcel Carné', 'Michel Deville', 'Raoul Coutard', 'Thierry Frémaux']",87
Wallace & Gromit: The Curse of the Were-Rabbit,"['Nick Park', 'Steve Box']","['Helena Bonham Carter', 'Peter Sallis', 'Ralph Fiennes', 'Dicken Ashworth', 'Edward Kelsey', 'Geraldine McEwan', 'John Thomson', 'Liz Smith', 'Mark Gatiss', 'Nicholas Smith', 'Noni Lewis', 'Pete Atkin', 'Peter Kay', 'Robert Horvath', 'Vincent Ebrahim']",87
The Diary of a Teenage Girl,['Marielle Heller'],"['Alexander Skarsgård', 'Bel Powley', 'Christopher Meloni', 'Kristen Wiig', 'Madeleine Waters', 'Margarita Levieva', 'Abby Wait', 'Alexander Skarsgård', 'Austin Lyon', 'Bel Powley', 'Carson Mell', 'Charles Lewis III', 'Christopher Meloni', 'David Fine', 'Davy Clements', 'Domino The Cat', 'Drew Benda', 'Giovanni Miller', 'John Parsons', 'Kristen Wiig', 'Madeleine Waters', 'Margarita Levieva', 'Miranda Bailey', 'Natalie Stephany Aguilar', 'Quinn Nagle', 'Samantha Hyde', 'Susannah Schulman']",87
Elena,['Andrei Zvyagintsev'],"['Aleksey Rozin', 'Andrey Smirnov', 'Nadezhda Markina', 'Yelena Lyadova']",87
All Is Lost,['J.C. Chandor'],"['Robert Redford', 'Robert Redford']",87
Hereditary,['Ari Aster'],"['Alex Wolff', 'Ann Dowd', 'Austin R. Grant', 'BriAnn Rachele', 'Christy Summerhays', 'Gabriel Byrne', 'Gabriel Monroe Eckert', 'Harrison Nell', 'Jake Brown', 'Jarrod Phillips', 'John Forker', 'Mallory Bechtel', 'Marilyn Miller', 'Mark Blockovich', 'Milly Shapiro', 'Morgan Lund', 'Rachelle Hardy', 'Toni Collette', 'Zachary Arthur', 'A.J. Moss', 'Ann Dowd', 'Austin R. Grant', 'Brock McKinney', 'Chad Wright', 'Gerry Garcia', 'Heidi Méndez', 'Jarrod Phillips', 'Jason Miyagi', 'John Forker', 'Lorenzo Silva', 'Mallory Bechtel', 'Marilyn Miller', 'Moises L. Tovar', 'Rachelle Hardy', 'Shane Morrisun', 'Zachary Arthur']",87
Listen to Me Marlon,['Stevan Riley'],"['Marlon Brando', 'Marlon Brando']",87
Gideon's Army,['Dawn Porter'],[],87
Serpico (re-release),['Sidney Lumet'],"['Al Pacino', 'John Randolph', 'Albert Henderson', 'Allan Rich', 'Barbara Eda-Young', 'Biff McGuire', 'Cornelia Sharpe', 'Damien Leake', 'Edward Grover', 'Hank Garrett', 'Jack Kehoe', 'John Medici', 'Joseph Bova', 'Norman Ornellas', 'Tony Roberts']",87
Maria Full of Grace,['Joshua Marston'],"['Catalina Sandino Moreno', 'Guilied Lopez', 'Charles Albert Patiño', 'Evangelina Morales', 'Fabricio Suarez', 'Jaime Osorio Gómez', 'Johanna Andrea Mora', 'John Álex Toro', 'Juana Guarderas', 'Mateo Suarez', 'Rodrigo Sánchez Borhorquez', 'Victor Macias', 'Virgina Ariza', 'Wilson Guerrero', 'Yenny Paola Vega']",87
Fateless,['Lajos Koltai'],"['András M. Kecskés', 'Áron Dimény', 'Bálint Péntek', 'Béla Dóra', 'Dani Szabó', 'Endre Harkányi', 'Gábor Nyiri', 'Jenö Nagy', 'Marcell Nagy', 'Márton Brezina', 'Péter Fancsikai', 'Péter Vida', 'Tibor Mertz', 'Zoltán Bukovszki', 'Zsolt Dér']",87
Happy as Lazzaro,['Alice Rohrwacher'],"['Adriano Tardiolo', 'Agnese Graziani', 'Alba Rohrwacher', 'Alessandro Genovesi', 'Antonio Salines', 'Carlo Massimino', 'Daria Pascal Attolini', 'David Bennent', 'Davide Denci', 'Elisabetta Rocchetti', 'Luca Chikovani', 'Maddalena Baiocco', 'Natalino Balasso', 'Nicoletta Braschi', 'Sergi López', 'Tommaso Ragno', 'Alessandro Genovesi', 'Annunziata Capretto', 'Antonio Salines', 'Carlo Massimino', 'Daria Pascal Attolini', 'Davide Denci', 'Ettore Scarpa', 'Gala Othero Winter', 'Giulia Caccavello', 'Leonardo Nigro', 'Luca Chikovani']",87
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,['Errol Morris'],"['Fidel Castro', 'John F. Kennedy', 'Richard Nixon', 'Robert McNamara', 'Barry Goldwater', 'Curtis LeMay', 'Errol Morris', 'Franklin Delano Roosevelt', 'Harry Reasoner', 'Lyndon Johnson', 'Nikita Khrushchev', 'Woodrow Wilson']",87
Uncle Boonmee Who Can Recall His Past Lives,['Apichatpong Weerasethakul'],"['Jenjira Pongpas', 'Matthieu Ly', 'Sakda Kaewbuadee', 'Thanapat Saisaymar', 'Vien Pimdee']",87
Brokeback Mountain,['Ang Lee'],"['Heath Ledger', 'Jake Gyllenhaal', 'Michelle Williams', 'Anna Faris', 'Anne Hathaway', 'David Harbour', 'David Trimble', 'Kate Mara', 'Lachlan Mackintosh', 'Larry Reese', 'Linda Cardellini', 'Marty Antonini', 'Randy Quaid', 'Valerie Planche', 'Víctor Reyes']",87
Cemetery of Splendor,['Apichatpong Weerasethakul'],"['Apinya Unphanlam', 'Banlop Lomnoi', 'Bhattaratorn Senkraigul', 'Boonyarak Bodlakorn', 'Jarinpattra Rueangram', 'Jenjira Jansuda', 'Jenjira Pongpas', 'Kammanit Sansuklerd', 'Petcharat Chaiburi', 'Pongsadhorn Lertsukon', 'Richard Abramson', 'Sakda Kaewbuadee', 'Sasipim Piwansenee', 'Sujittraporn Wongsrikeaw', 'Tawatchai Buawat', 'Wacharee Nagvichien']",87
The Kid with a Bike,"['Jean-Pierre Dardenne', 'Luc Dardenne']","['Cécile De France', 'Egon Di Mateo', 'Fabrizio Rongione', 'Jérémie Renier', 'Olivier Gourmet', 'Thomas Doret', 'Batiste Sornin', 'Carl Jadot', 'Cécile De France', 'Claudy Delfosse', 'Egon Di Mateo', 'Fabrizio Rongione', 'Frédéric Dussenne', 'Hicham Slaoui', 'Jean-Michel Balthazar', 'Jérémie Renier', 'Myriem Akeddiou', 'Olivier Gourmet', 'Samuel De Rijk', 'Sandra Raco', 'Thomas Doret']",87
Mutiny on the Bounty,['Frank Lloyd'],"['Charles Laughton', 'Clark Gable', 'Donald Crisp', 'Dudley Digges', 'Eddie Quillan', 'Franchot Tone', 'Francis Lister', 'Henry Stephenson', 'Herbert Mundin', 'Spring Byington', 'Byron Russell', 'David Torrence', 'Mamo Clark', 'Movita', 'Percy Waram']",87
Spider-Man: Into the Spider-Verse,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Brian Tyree Henry', 'Chris Pine', 'Hailee Steinfeld', 'Jake M. Johnson', 'John Mulaney', 'Kathryn Hahn', 'Kimiko Glenn', 'Lauren Vélez', 'Liev Schreiber', 'Lily Tomlin', 'Mahershala Ali', 'Melanie Haynes', 'Muneeb Rehman', 'Nick Jaine', 'Nicolas Cage', 'Oscar Isaac', 'Shameik Moore', 'Stan Lee', 'Zoë Kravitz', 'Alycia Cooper', 'Brian Tyree Henry', 'Chris Pine', 'Jessica Mikayla Adams', 'John Mulaney', 'Kathryn Hahn', 'Kimiko Glenn', 'Liev Schreiber', 'Lily Tomlin', 'Mahershala Ali', 'Melanie Haynes', 'Muneeb Rehman', 'Natalie Morales', 'Natalie Morales', 'Nick Jaine', 'Nicolas Cage', 'Shameik Moore']",87
The Wicker Man,['Robin Hardy'],"['Aubrey Morris', 'Britt Ekland', 'Christopher Lee', 'Diane Cilento', 'Edward Woodward', 'Ingrid Pitt', 'Irene Sunters', 'Lindsay Kemp', 'Russell Waters', 'Walter Carr', 'Barbara Rafferty', 'Ian Campbell', 'Leslie Blackater', 'Peter Brewis', 'Roy Boyd']",87
Love & Friendship,['Whit Stillman'],"['Chloë Sevigny', 'Emma Greenwell', 'Kate Beckinsale', 'Xavier Samuel', 'Chloë Sevigny', 'Conor Lambert', 'Conor MacNeill', 'Emma Greenwell', 'Frank Prendergast', 'James Fleet', 'Jemma Redgrave', 'Jenn Murray', 'Jordan Waller', 'Justin Edwards', 'Kate Beckinsale', 'Kelly Campbell', ""Lochlainn O'Mearain"", 'Morfydd Clark', 'Ross Mac Mahon', 'Sophie Radermacher', 'Stephen Fry', 'Tom Bennett', 'Xavier Samuel']",87
Particle Fever,['Mark Levinson'],"['Albert de Roeck', 'Andy Cohen', 'Asmina Arvanitaki', 'Christophe Clement', 'David Kaplan', 'Fabiola Gianotti', 'James Beacham', 'Jed Biesiada', 'Katherine Copic', 'Kyle Cranmer', 'Martin Aleksa', 'Mike Lamont', 'Monica Dunford', 'Nima Arkani-Hamed', 'Savas Dimopoulos']",87
Tarnation,['Jonathan Caouette'],"['Jonathan Caouette', 'Adolph Davis', 'Dagon James', 'David Leblanc', 'David Sanin Paz', 'Greg Ayres', 'Joshua Williams', 'Michael Cox', 'Michael Mouton', 'Renee Leblanc', 'Rosemary Davis', 'Stacey Mowery', 'Steve Caouette', 'Vanda Stovall', 'Vivian Kalinov']",87
Microcosmos,"['Claude Nuridsany', 'Marie Pérennou']","['Jacques Perrin', 'Kristin Scott Thomas']",87
Murderball,"['Dana Adam Shapiro', 'Henry Alex Rubin']","['Joe Soares', 'Keith Cavill', 'Mark Zupan', 'Andy Cohn', 'Bob Lujano', 'Christopher Igoe', 'Dave Willsie', 'Joe Bishop', 'Kevin Orr', 'Scott Hogsett']",87
Life Itself,"['Steve James', 'Steve James']","['Chaz Ebert', 'Errol Morris', 'Gene Siskel', 'Martin Scorsese', 'Roger Ebert', 'Werner Herzog', 'A.O. Scott', 'Ava DuVernay', 'Chaz Ebert', 'Errol Morris', 'Gene Siskel', 'Marlene Iglitzen', 'Marlene Siskel', 'Martin Scorsese', 'Ramin Bahrani', 'Roger Ebert', 'Stephen Stanton', 'Werner Herzog', 'William Nack']",87
The Shape of Water,['Guillermo del Toro'],"['Cyndy Day', 'David Hewlett', 'Doug Jones', 'John Kapelos', 'Lauren Lee Smith', 'Michael Shannon', 'Michael Stuhlbarg', 'Morgan Kelly', 'Nick Searcy', 'Nigel Bennett', 'Octavia Spencer', 'Richard Jenkins', 'Sally Hawkins', 'Stewart Arnott', 'Allegra Fulton', 'Amanda Smith', 'Cyndy Day', 'David Hewlett', 'Doug Jones', 'Dru Viergever', 'Evgeny Akimov', 'Jayden Greig', 'John Kapelos', 'Lauren Lee Smith', 'Madison Ferguson', 'Martin Roach', 'Marvin Kaye', 'Maxine Grossman', 'Michael Shannon', 'Michael Stuhlbarg', 'Morgan Kelly', 'Nick Searcy', 'Octavia Spencer', 'Richard Jenkins', 'Sally Hawkins']",87
Rewind,['Sasha Joseph Neulinger'],[],87
Shine,['Scott Hicks'],"['Armin Mueller-Stahl', 'Geoffrey Rush', 'Alex Rafalowicz', 'Chris Haywood', 'Danielle Cox', 'Gordon Poole', 'John Cousins', 'Justin Braine', 'Marta Kaczmarek', 'Nicholas Bell', 'Noah Taylor', 'Paul Linkson', 'Randall Berger', 'Rebecca Gooden', 'Sonia Todd']",87
Bisbee '17,['Robert Greene'],"['Aaron Gain', 'Annie Graeme-Larkin', 'Benjamin Joel Caron', 'Charles Bethea', 'Chris Dietz', 'Dick Graeme', 'Doug Graeme', 'James West', 'Ken Boe', 'Mary Ellen Dunlap', 'Mike Anderson', 'Richard Graeme Iii', 'Annie Graeme-Larkin', 'Laurie McKenna', 'Mel Ray', 'Richard Hodges', 'Steve Ray', 'Sue Ray']",87
Grizzly Man,['Werner Herzog'],"['Amie Huguenard', 'Timothy Treadwell', 'Carol Dexter', 'David Letterman', 'Franc G. Fallico', 'Jewel Palovak', 'Kathleen Parker', 'Marc Gaede', 'Marnie Gaede', 'Sam Egli', 'Sven Haakanson Jr.', 'Val Dexter', 'Warren Queeney', 'Werner Herzog', 'Willy Fulton']",87
Adam's Rib,['George Cukor'],"['Clarence Kolb', 'David Wayne', 'Emerson Treacy', 'Eve March', 'Hope Emerson', 'Jean Hagen', 'Judy Holliday', 'Katharine Hepburn', 'Spencer Tracy', 'Tom Ewell', 'Bonnie Bannon', 'Charles Bastin', 'Elizabeth Flournoy', 'Polly Moran', 'Will Wright']",87
Gregory Crewdson: Brief Encounters,['Ben Shapiro'],"['Gregory Crewdson', ""Richard 'Rico' Sands""]",87
Moneyball,['Bennett Miller'],"['Brad Pitt', 'Jonah Hill', 'Robin Wright', 'Adrian Bellani', 'Chris Pratt', 'Erin Pickett', 'Glenn Morshower', 'James Shanklin', 'Kathryn Morris', 'Keith Middlebrook', 'Olivia Dudley', 'Philip Seymour Hoffman', 'Sergio Garcia', 'Stephen Bishop', 'Tammy Blanchard']",87
The Autobiography of Nicolae Ceausescu,['Andrei Ujica'],"['Charles de Gaulle', 'Edward Gierek', 'Elena Ceausescu', 'Erich Honecker', 'Jimmy Carter', 'Kim Ir-Sen', 'Leonid Brezhnev', 'Mao Zedong', 'Mikhail Gorbachev', 'Nicolae Ceausescu', 'Prince Philip', 'Queen Elizabeth II', 'Richard Nixon', 'Wladyslaw Gomulka', 'Wojciech Jaruzelski']",87
All About My Mother,['Pedro Almodóvar'],"['Cecilia Roth', 'Marisa Paredes', 'Antonia San Juan', 'Candela Peña', 'Carlos Lozano', 'Carmen Balagué', 'Eloy Azorín', 'Fernando Fernán Gómez', 'Fernando Guillén', 'José Luis Torrijo', 'Juan José Otegui', 'Manuel Morón', 'Penélope Cruz', 'Rosa Maria Sardà', 'Toni Cantó']",87
The English Patient,['Anthony Minghella'],"['Juliette Binoche', 'Kristin Scott Thomas', 'Ralph Fiennes', 'Willem Dafoe', 'Clive Merrison', 'Colin Firth', 'Geordie Johnson', 'Hichem Rostom', 'Julian Wadham', 'Jürgen Prochnow', 'Kevin Whately', 'Naveen Andrews', 'Nino Castelnuovo', 'Peter Rühring', 'Torri Higginson']",87
The Duke of Burgundy,['Peter Strickland'],"['Monica Swinn', 'Sidse Babett Knudsen', ""Chiara D'Anna"", 'Eszter Tompa', 'Eugenia Caruso', 'Fatma Mohamed', 'Kata Bartsch', 'Monica Swinn', 'Sidse Babett Knudsen', 'Zita Kraszkó']",87
My Golden Days,['Arnaud Desplechin'],"['Cécile Garcia-Fogel', 'Dinara Drukarova', 'Lou Roy-Lecollinet', 'Mathieu Amalric', 'Quentin Dolmaire', 'Cécile Garcia-Fogel', 'Clémence Le Gall', 'Dinara Drukarova', 'Elyot Milshtein', 'Françoise Lebrun', 'Irina Vavilova', 'Kheifets Gregory', 'Lily Taieb', 'Lou Roy-Lecollinet', 'Mathieu Amalric', 'Olivier Rabourdin', 'Pierre Andrau', 'Quentin Dolmaire', 'Raphaël Cohen', 'Théo Fernandez']",87
Nebraska,['Alexander Payne'],"['Bob Odenkirk', 'Bruce Dern', 'June Squibb', 'Stacy Keach', 'Will Forte', 'Angela McEwan', 'Anthony G. Schmidt', 'Bob Odenkirk', 'Bruce Dern', 'Dennis McCoig', 'Devin Ratray', 'Elizabeth Moore', 'Gelndora Stitt', 'June Squibb', 'Kevin Kunkel', 'Mary Louise Wilson', 'Melinda Simonsen', 'Missy Doty', 'Rance Howard', 'Ronald Vosta', 'Stacy Keach', 'Stephen Clayton', 'Tim Driscoll', 'Will Forte']",87
What the Constitution Means to Me,['Marielle Heller'],"['Heidi Schreck', 'Mike Iveson', 'Rosdely Ciprian', 'Thursday Williams']",87
A Tale of Two Cities,"['Jack Conway', 'Robert Z. Leonard']","['Basil Rathbone', 'Blanche Yurka', 'Donald Woods', 'Edna May Oliver', 'Elizabeth Allan', 'Fritz Leiber', 'Henry B. Walthall', 'Reginald Owen', 'Ronald Colman', 'Walter Catlett', 'Billy Bevan', 'Claude Gillingwater', 'H.B. Warner', 'Isabel Jewell', 'Mitchell Lewis']",87
Force Majeure,['Ruben Östlund'],"['Clara Wettergren', 'Johannes Kuhnke', 'Kristofer Hivju', 'Lisa Loven Kongsli', 'Vincent Wettergren', 'Adrian Heinisch', 'Brady Corbet', 'Clara Wettergren', 'Fanni Metelius', 'Franco Moscon', 'Jakob Granqvist', 'Johannes Kuhnke', 'Johannes Moustos', 'Jorge Lattof', 'Julie Roumogoux', 'Karin Myrenberg', 'Karl Pincon', 'Kristofer Hivju', 'Lisa Loven Kongsli', 'Malin Dahl', 'Michael Breitenberger', 'Peter Gaunt', 'Vincent Wettergren']",87
Tampopo,['Jûzô Itami'],"['Ken Watanabe', 'Nobuko Miyamoto', 'Tsutomu Yamazaki', 'Fukumi Kuroda', 'Hideji Ôtaki', 'Kinzô Sakura', 'Kôji Yakusho', 'Mario Abe', 'Masahiko Tsugawa', 'Rikiya Yasuoka', 'Sen Hara', 'Setsuko Shinoi', 'Yoriko Douguchi', 'Yoshi Katô', 'Yoshihiro Kato']",87
Blow Out,['Brian De Palma'],"['Dennis Franz', 'John Lithgow', 'John Travolta', 'Nancy Allen', 'Cindy Manion', 'Curt May', 'Deborah Everton', 'J. Patrick McNamara', 'John Aquino', 'John McMartin', 'Lori-Nan Engler', 'Missy Cleveland', 'Missy Crutchfield', 'Peter Boyden', 'Roger Wilson']",86
